greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,plant_height,large_leaves_count,small_leaves_count,total_leaves_count_marked,flowers_count
A,DPE,3D,ADPE3D,10/2/20,1,15,19,elevated,R+,50,57,0,57,
B,ACY,1W,BACY1W,14/02/2020,1,19,23,elevated,R+,63,13,4,17,
B,ACY,2W,BACY2W,14/02/2020,1,19,23,elevated,R+,73,10,16,26,
B,ACY,3W,BACY3W,14/02/2020,1,19,23,elevated,R+,87,13,10,23,
B,ACY,5W,BACY5W,14/02/2020,1,19,23,elevated,R+,68,6,28,34,
B,ACY,6W,BACY6W,14/02/2020,1,19,23,elevated,R+,90,17,18,35,
B,CAL,1W,BCAL1W,13/02/2020,1,18,22,elevated,R-,62,8,19,27,
B,CAL,3W,BCAL3W,13/02/2020,1,18,22,elevated,R-,67,4,0,4,
B,CAL,4W,BCAL4W,13/02/2020,1,18,22,elevated,R-,65,8,1,9,
B,CAL,5W,BCAL5W,13/02/2020,1,18,22,elevated,R-,55,8,0,8,
B,CAL,6W,BCAL6W,13/02/2020,1,18,22,elevated,R-,64,8,4,12,
B,ROF,1W,BROF1W,12/2/20,1,17,21,elevated,R-,45,40,43,83,
B,ROF,2W,BROF2W,12/2/20,1,17,21,elevated,R-,60,22,32,54,
B,ROF,3W,BROF3W,12/2/20,1,17,21,elevated,R-,46,18,14,32,
B,LST,1W,BLST1W,11/2/20,1,16,20,elevated,R-,33,20,0,20,
B,LST,2W,BLST2W,11/2/20,1,16,20,elevated,R-,40,32,60,92,
B,LST,4W,BLST4W,11/2/20,1,16,20,elevated,R-,50,21,78,99,
B,LST,1D,BLST1D,11/2/20,1,16,20,elevated,R-,48,45,22,67,
B,DPE,1W,BDPE1W,10/2/20,1,15,19,elevated,R+,53,103,0,103,
B,DPE,2W,BDPE2W,10/2/20,1,15,19,elevated,R+,40,65,0,65,
B,DPE,3W,BDPE3W,10/2/20,1,15,19,elevated,R+,50,37,0,37,
B,DPE,4W,BDPE4W,10/2/20,1,15,19,elevated,R+,47,76,0,76,
B,DPE,3D,BDPE3D,10/2/20,1,15,19,elevated,R+,35,59,0,59,
B,DPE,4D,BDPE4D,10/2/20,1,15,19,elevated,R+,40,85,0,85,
C,ACY,1W,CACY1W,14/02/2020,1,19,23,elevated,R+,66,14,30,44,
C,ACY,2W,CACY2W,14/02/2020,1,19,23,elevated,R+,65,14,30,44,
C,ACY,4W,CACY4W,14/02/2020,1,19,23,elevated,R+,68,7,18,25,
C,ACY,5W,CACY5W,14/02/2020,1,19,23,elevated,R+,80,4,48,52,
C,CAL,1W,CCAL1W,13/02/2020,1,18,22,elevated,R-,56,10,0,10,
C,CAL,2W,CCAL2W,13/02/2020,1,18,22,elevated,R-,52,16,0,16,
C,CAL,3W,CCAL3W,13/02/2020,1,18,22,elevated,R-,57,8,4,12,
C,CAL,4W,CCAL4W,13/02/2020,1,18,22,elevated,R-,42,16,0,16,
C,CAL,5W,CCAL5W,13/02/2020,1,18,22,elevated,R-,45,11,0,11,
C,ROF,1W,CROF1W,12/2/20,1,17,21,elevated,R-,44,25,29,54,
C,ROF,2W,CROF2W,12/2/20,1,17,21,elevated,R-,53,19,24,43,
C,ROF,3W,CROF3W,12/2/20,1,17,21,elevated,R-,57,19,12,31,
C,ROF,4W,CROF4W,12/2/20,1,17,21,elevated,R-,35,8,24,32,
C,ROF,3D,CROF3D,12/2/20,1,17,21,elevated,R-,44,22,9,31,
C,ROF,5D,CROF5D,12/2/20,1,17,21,elevated,R-,42,17,17,34,
C,LST,1W,CLST1W,11/2/20,1,16,20,elevated,R-,32,37,0,37,
C,LST,3W,CLST3W,11/2/20,1,16,20,elevated,R-,32,24,0,24,
