greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,water_potential_bar,water_potential_mpa,osmotic_potential_mmol.kg-1,osmotic_potential_mpa,obs
C,CAL,5W,CCAL5W,12/03/2020,2,18,50,elevated,R-,18.3,-1.83,663,-1.6123497,
C,ROF,1W,CROF1W,10/03/2020,2,16,48,elevated,R-,9.8,-0.98,605,-1.4712995,
C,ROF,2W,CROF2W,10/03/2020,2,16,48,elevated,R-,13.1,-1.31,610,-1.483459,
C,ROF,3W,CROF3W,10/03/2020,2,16,48,elevated,R-,11.5,-1.15,590,-1.434821,
C,ROF,4W,CROF4W,10/03/2020,2,16,48,elevated,R-,15.2,-1.52,620,-1.507778,
C,ROF,3D,CROF3D,10/03/2020,2,16,48,elevated,R-,16.8,-1.68,664,-1.6147816,
C,ROF,5D,CROF5D,10/03/2020,2,16,48,elevated,R-,18.4,-1.84,730,-1.775287,osm. Pot. Not sure
C,LST,1W,CLST1W,13/03/2020,2,19,51,elevated,R-,15.7,-1.57,682,-1.6585558,
C,LST,3W,CLST3W,13/03/2020,2,19,51,elevated,R-,14.1,-1.41,590,-1.434821,
C,LST,4W,CLST4W,13/03/2020,2,19,51,elevated,R-,12.8,-1.28,512,-1.2451328,
C,LST,1D,CLST1D,13/03/2020,2,19,51,elevated,R-,20.9,-2.09,904,-2.1984376,
C,DPE,1W,CDPE1W,11/03/2020,2,13,49,elevated,R+,18.6,-1.86,,,not enough sap osm.
C,DPE,2W,CDPE2W,11/03/2020,2,13,49,elevated,R+,17.6,-1.76,,,not enough sap osm.
C,DPE,3W,CDPE3W,11/03/2020,2,13,49,elevated,R+,18.3,-1.83,782,-1.9017458,
C,DPE,2D,CDPE2D,11/03/2020,2,13,49,elevated,R+,20.9,-2.09,775,-1.8847225,
D,ACY,1W,DACY1W,09/03/2020,2,15,47,ambient,R+,19.7,-1.97,746,-1.8141974,
D,ACY,2W,DACY2W,09/03/2020,2,15,47,ambient,R+,15.8,-1.58,723,-1.7582637,
D,ACY,3W,DACY3W,09/03/2020,2,15,47,ambient,R+,20.1,-2.01,795,-1.9333605,
D,ACY,4W,DACY4W,09/03/2020,2,15,47,ambient,R+,21.2,-2.12,602,-1.4640038,
