greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,length_main_root_cm,diameter_top_mainroot_mm,fresh_weight_soil_bucketplus2.12kg,fresh_weight_allpotsoil_g,estim_dryweight_allpot_g,pot_bulk_density_g/cm3,soil_freshweight_1liter,soil_dryweight_1liter,grav_swc_perc,grav_swc (g/g),bulk_density_ (g/cm3) ,vol_swc_perc,vol_swc(cm3/cm3),ysoil_bc(kpa),total_leaves_dryweight_bag,total_stem_dryweight_bag,main_roots_dryweight_bag,fine_roots_dryweight_bag,observations..a...or.2.circled.next.to.the.number.means.2.bags..M.means.brown.bag..maron...N.new.bag.larger,"normal:2.975,2x normal.white.bag:5.950g,N.white.bag.new.larger:7.051.g.M.brown.bag.large:20.546g",bag_weight_leaves,bag_weight_stem,bag_weight_mainroots,bag_weight_fineroots,leaves_biomass,stems_biomass,main_roots_biomass,fine_roots_biomass,total_aboveground_biomass,total_belowground_biomass,root_shoot_ratio
C,ACY,2W,CACY2W,10/4/20,3,14,79,elevated,R+,83,13.07,7.4,5280,4816.067,0.482,780,717,8.786610879,0.087866109,0.717,6.3,0.063,-1500.922867,25.116,83.808,21.764,7.776,,2 bags stems,2.975,5.95,2.975,2.975,22.141,77.858,18.789,4.801,99.999,23.59,0.235902359
C,ACY,4W,CACY4W,10/4/20,3,14,79,elevated,R+,73,10.18,7.4,5280,4812.869,0.481,812,746,8.847184987,0.08847185,0.746,6.6,0.066,-1286.424046,18.382,60.178,21.223,7.865,,,2.975,2.975,2.975,2.975,15.407,57.203,18.248,4.89,72.61,23.138,0.318661341
C,ACY,5W,CACY5W,10/4/20,3,14,79,elevated,R+,75,12.6,7.4,5280,4874.375,0.487,827,768,7.682291667,0.076822917,0.768,5.9,0.059,-1865.51127,22.119,98.688,26.918,10.618,,,2.975,2.975,2.975,2.975,19.144,95.713,23.943,7.643,114.857,31.586,0.27500283
C,CAL,1W,CCAL1W,11/4/20,3,15,80,elevated,R-,63,12.91,7.4,5280,4729.575,0.473,858,777,10.42471042,0.104247104,0.777,8.1,0.081,-652.4458276,35.132,40.362,16.911,11.762,fine roots N,,2.975,2.975,2.975,7.051,32.157,37.387,13.936,4.711,69.544,18.647,0.268132405
C,CAL,2W,CCAL2W,11/4/20,3,15,80,elevated,R-,65,10.15,7.5,5380,5103.088,0.51,858,816,5.147058824,0.051470588,0.816,4.2,0.042,-5755.736428,41.337,36.93,12.83,9.383,fine roots N,,2.975,2.975,2.975,7.051,38.362,33.955,9.855,2.332,72.317,12.187,0.168521924
C,CAL,3W,CCAL3W,11/4/20,3,15,80,elevated,R-,53,11.8,7.3,5180,4597.723,0.46,762,685,11.24087591,0.112408759,0.685,7.7,0.077,-771.7125123,38.674,50.508,20.585,10.538,fine roots N,,2.975,2.975,2.975,7.051,35.699,47.533,17.61,3.487,83.232,21.097,0.253472222
C,CAL,4W,CCAL4W,11/4/20,3,15,80,elevated,R-,70,8.98,7.2,5080,4588.16,0.459,793,723,9.681881051,0.096818811,0.723,7,0.07,-1058.454742,43.53,39.916,13.181,9.535,fine roots N,,2.975,2.975,2.975,7.051,40.555,36.941,10.206,2.484,77.496,12.69,0.163750387
C,CAL,5W,CCAL5W,11/4/20,3,15,80,elevated,R-,63,9.11,7.3,5180,4801.729,0.48,720,671,7.302533532,0.073025335,0.671,4.9,0.049,-3452.806897,32.893,37.028,12.582,9.951,fine roots N,,2.975,2.975,2.975,7.051,29.918,34.053,9.607,2.9,63.971,12.507,0.195510466
C,ROF,1W,CROF1W,16/04/2020,3,20,85,elevated,R-,62,12.23,7.4,5280,4912.5,0.491,753,704,6.960227273,0.069602273,0.704,4.9,0.049,-3452.806897,48.321,46.322,17.363,11.206,main roots N,,2.975,2.975,7.051,2.975,45.346,43.347,10.312,8.231,88.693,18.543,0.209069487
C,ROF,2W,CROF2W,16/04/2020,3,20,85,elevated,R-,40,11.83,7.4,5280,4957.781,0.496,765,721,6.102635229,0.061026352,0.721,4.4,0.044,-4933.176718,44.889,51.479,12.511,8.289,main roots N,,2.975,2.975,7.051,2.975,41.914,48.504,5.46,5.314,90.418,10.774,0.11915769
C,ROF,3W,CROF3W,16/04/2020,3,20,85,elevated,R-,65,10.88,7.6,5480,5080.563,0.508,839,782,7.289002558,0.072890026,0.782,5.7,0.057,-2091.448376,51.933,51.281,14.801,9.099,main roots N,,2.975,2.975,7.051,2.975,48.958,48.306,7.75,6.124,97.264,13.874,0.142642704
C,ROF,4W,CROF4W,16/04/2020,3,20,85,elevated,R-,35,7.69,7.8,5680,5344.987,0.534,790,746,5.898123324,0.058981233,0.746,4.4,0.044,-4933.176718,32.64,31.387,9.28,7.923,main roots N,,2.975,2.975,7.051,2.975,29.665,28.412,2.229,4.948,58.077,7.177,0.12357732
C,ROF,3D,CROF3D,16/04/2020,3,20,85,elevated,R-,58,9.8,7.7,5580,5106.082,0.511,792,730,8.493150685,0.084931507,0.73,6.2,0.062,-1582.682663,48.54,38.529,13.833,10.309,main roots N,,2.975,2.975,7.051,2.975,45.565,35.554,6.782,7.334,81.119,14.116,0.174015952
C,ROF,5D,CROF5D,16/04/2020,3,20,85,elevated,R-,65,7.77,8.2,6080,5812.509,0.581,878,841,4.399524376,0.043995244,0.841,3.7,0.037,-8761.603195,21.497,19.967,9.453,9.726,main roots N,,2.975,2.975,7.051,2.975,18.522,16.992,2.402,6.751,35.514,9.153,0.257729346
C,LST,1W,CLST1W,13/04/2020,3,17,82,elevated,R-,30,8.09,7.5,5380,4773.803,0.477,790,710,11.26760563,0.112676056,0.71,8,0.08,-679.8748702,17.459,19.752,7.637,12.553,fine roots N,,2.975,2.975,2.975,7.051,14.484,16.777,4.662,5.502,31.261,10.164,0.325133553
C,LST,3W,CLST3W,13/04/2020,3,17,82,elevated,R-,50,9.39,7,4880,3681.075,0.368,649,521,24.5681382,0.245681382,0.521,12.8,0.128,-143.1433729,25.255,26.12,9.1,7.828,,,2.975,2.975,2.975,2.975,22.28,23.145,6.125,4.853,45.425,10.978,0.241673088
C,LST,4W,CLST4W,13/04/2020,3,17,82,elevated,R-,32,6.27,7.6,5480,3938.136,0.394,715,558,28.13620072,0.281362007,0.558,15.7,0.157,-72.73860169,11.59,15.274,6.598,5.748,,,2.975,2.975,2.975,2.975,8.615,12.299,3.623,2.773,20.914,6.396,0.30582385
C,LST,1D,CLST1D,13/04/2020,3,17,82,elevated,R-,34,6.26,8.2,6080,5128.124,0.513,820,709,15.65585331,0.156558533,0.709,11.1,0.111,-229.5760721,9.212,13.771,6.72,6.317,,,2.975,2.975,2.975,2.975,6.237,10.796,3.745,3.342,17.033,7.087,0.416074679
C,DPE,1W,CDPE1W,12/4/20,3,16,81,elevated,R+,55,5.5,7.6,5480,4915.44,0.492,803,728,10.3021978,0.103021978,0.728,7.5,0.075,-842.0622683,9.133,26.395,8.229,6.319,,,2.975,2.975,2.975,2.975,6.158,23.42,5.254,3.344,29.578,8.598,0.290689026
